panneaux;bilan_periode_kWh;besoin_batterie_utilisable_kWh;batteries;capacite_nominale_batteries_kWh;capacite_utilisable_batteries_kWh;cout_panneaux_EUR;cout_batteries_EUR;cout_total_EUR
670;281735.67980000004;608.512800000055;363;871.1999999999999;609.84;93572.2;163346.37;256918.57
671;282101.77694;608.1299400000717;362;868.8;608.16;93711.86;162896.38;256608.24
672;282467.87408;607.747080000001;362;868.8;608.16;93851.52;162896.38;256747.90000000002
673;282833.97122;607.3642200000177;362;868.8;608.16;93991.18;162896.38;256887.56
674;283200.06836000003;606.9813600000925;362;868.8;608.16;94130.84;162896.38;257027.22
675;283566.1655;606.5985000000219;362;868.8;608.16;94270.5;162896.38;257166.88
676;283932.26264;606.2156400000677;361;866.4;606.48;94410.16;162446.39;256856.55000000002
677;284298.35977999994;605.8327800000552;361;866.4;606.48;94549.81999999999;162446.39;256996.21000000002
678;284664.45692;605.4499200000428;361;866.4;606.48;94689.48;162446.39;257135.87
679;285030.55406;605.0670600000594;361;866.4;606.48;94829.14;162446.39;257275.53000000003
680;285396.6512;604.6842000001052;360;864.0;604.8;94968.8;161996.4;256965.2
681;285762.74834000005;604.3013400000928;360;864.0;604.8;95108.45999999999;161996.4;257104.86
682;286128.84548;603.918479999993;360;864.0;604.8;95248.12;161996.4;257244.52
683;286494.94262;603.5356200000679;360;864.0;604.8;95387.78;161996.4;257384.18
684;286861.03976;603.1527600000554;360;864.0;604.8;95527.44;161996.4;257523.84
685;287227.1369;602.7699000001012;359;861.6;603.12;95667.09999999999;161546.41;257213.51
686;287593.23404;602.3870400000887;359;861.6;603.12;95806.76;161546.41;257353.16999999998
687;287959.33118;602.0041800000181;359;861.6;603.12;95946.42;161546.41;257492.83000000002
688;288325.42832;601.6213200000057;359;861.6;603.12;96086.08;161546.41;257632.49
689;288691.52546000003;601.2384599999932;358;859.1999999999999;601.4399999999999;96225.73999999999;161096.42;257322.16
690;289057.6226;600.8556000000681;358;859.1999999999999;601.4399999999999;96365.4;161096.42;257461.82
691;289423.71974;600.4727400000556;358;859.1999999999999;601.4399999999999;96505.06;161096.42;257601.48
692;289789.81688;600.0898800000141;358;859.1999999999999;601.4399999999999;96644.72;161096.42;257741.14
693;290155.91402;599.7070200000308;357;856.8;599.76;96784.38;160646.43;257430.81
694;290522.01116;599.3241600000474;357;856.8;599.76;96924.04;160646.43;257570.46999999997
695;290888.10829999996;598.941300000035;357;856.8;599.76;97063.7;160646.43;257710.13
696;291254.20544;598.5584400000516;357;856.8;599.76;97203.36;160646.43;257849.78999999998
697;291620.30258;598.1755800000683;357;856.8;599.76;97343.02;160646.43;257989.45
698;291986.39972000004;597.7927199999976;356;854.4;598.0799999999999;97482.68;160196.44;257679.12
699;292352.49686;597.4098600000725;356;854.4;598.0799999999999;97622.34;160196.44;257818.78
700;292718.59400000004;597.0270000001183;356;854.4;598.0799999999999;97762.0;160196.44;257958.44
701;293084.69114;596.6441400000476;356;854.4;598.0799999999999;97901.66;160196.44;258098.1
702;293450.78828;596.2612800000352;355;852.0;596.4;98041.31999999999;159746.45;257787.77000000002
703;293816.88542;595.8813000000955;355;852.0;596.4;98180.98;159746.45;257927.43
704;294182.98256;595.5384000000195;355;852.0;596.4;98320.64;159746.45;258067.09000000003
705;294549.0797;595.1955000000307;355;852.0;596.4;98460.3;159746.45;258206.75
706;294915.17684;594.8526000000711;355;852.0;596.4;98599.95999999999;159746.45;258346.41
707;295281.27397999994;594.5097000000242;354;849.6;594.72;98739.62;159296.46;258036.08
708;295647.37112;594.1668000000645;354;849.6;594.72;98879.28;159296.46;258175.74
709;296013.46826;593.8239000000467;354;849.6;594.72;99018.94;159296.46;258315.4
710;296379.56539999996;593.4810000000289;354;849.6;594.72;99158.59999999999;159296.46;258455.06
711;296745.66254;593.1381000000401;354;849.6;594.72;99298.26;159296.46;258594.71999999997
712;297111.75968;592.7952000001096;353;847.1999999999999;593.04;99437.92;158846.47;258284.39
713;297477.85682;592.4523000000627;353;847.1999999999999;593.04;99577.58;158846.47;258424.05
714;297843.95395999996;592.1093999999866;353;847.1999999999999;593.04;99717.23999999999;158846.47;258563.71
715;298210.0511;591.7665000000561;353;847.1999999999999;593.04;99856.9;158846.47;258703.37
716;298576.14824;591.4236000000383;353;847.1999999999999;593.04;99996.56;158846.47;258843.03
